2022-03-28 22:53:18 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.2.0.Final 
2022-03-28 22:55:40 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2022-03-28 22:55:40 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.55] 
2022-03-28 22:55:40 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2022-03-28 22:55:40 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 477 ms 
2022-03-28 22:55:40 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2022-03-28 22:55:40 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Starting... 
2022-03-28 22:55:43 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-2 - Start completed. 
2022-03-28 22:55:43 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect 
2022-03-28 22:55:43 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2022-03-28 22:55:43 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default' 
2022-03-28 22:55:43 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2022-03-28 22:55:43 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain                 - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@44591ee4, org.springframework.security.web.context.SecurityContextPersistenceFilter@69dc441b, org.springframework.security.web.header.HeaderWriterFilter@685f1ee6, org.springframework.web.filter.CorsFilter@22743609, org.springframework.security.web.authentication.logout.LogoutFilter@1dab73d1, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@20802e03, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@391b01d4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2923803f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@17caf3ce, org.springframework.security.web.session.SessionManagementFilter@2d624452, org.springframework.security.web.access.ExceptionTranslationFilter@4aa97bb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7b99d243] 
2022-03-28 22:55:43 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer                 - LiveReload server is running on port 35729 
2022-03-28 22:55:43 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-8081"] 
2022-03-28 22:55:43 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 8081 (http) with context path '' 
2022-03-28 22:55:43 [restartedMain] INFO  c.v.advancedJavaFinalKimThanhApplication           - Started advancedJavaFinalKimThanhApplication in 4.359 seconds (JVM running for 146.794) 
2022-03-28 22:55:43 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener  - Condition evaluation unchanged 
